name/season,injury,days
noussair-mazraoui_20/21,Eye injury,60
noussair-mazraoui_20/21,minor knock,11
noussair-mazraoui_20/21,Knock,32
sacha-boey_23/24,Torn muscle bundle,44
sacha-boey_23/24,Torn muscle fiber,19
sacha-boey_23/24,Foot injury,2
sacha-boey_23/24,Knee problems,4
sacha-boey_22/23,unknown injury,16
sacha-boey_21/22,Corona virus,9
sacha-boey_21/22,cold,6
sacha-boey_21/22,Corona virus,8
sacha-boey_21/22,Hamstring injury,92
sacha-boey_21/22,Hamstring injury,19
bouna-sarr_23/24,Cruciate ligament tear,182
bouna-sarr_22/23,Knee surgery,126
bouna-sarr_22/23,Fitness,7
bouna-sarr_21/22,Patellar tendon problems,42
bouna-sarr_21/22,Patellar tendon problems,21
bouna-sarr_21/22,Adductor injury,14
bouna-sarr_20/21,Tendonitis,21
bouna-sarr_20/21,Fitness,10
bouna-sarr_20/21,Corona virus,11
aleksandar-pavlovic_23/24,Ill,3
aleksandar-pavlovic_23/24,Tonsillitis,15
aleksandar-pavlovic_23/24,Hip problems,3
aleksandar-pavlovic_21/22,Hamstring injury,58
leon-goretzka_23/24,Ill,7
leon-goretzka_23/24,muscular problems,3
leon-goretzka_23/24,Broken hand,11
leon-goretzka_22/23,Thigh problems,5
leon-goretzka_22/23,Corona virus,7
leon-goretzka_22/23,Knee surgery,38
leon-goretzka_21/22,Fitness,7
leon-goretzka_21/22,Hip problems,105
leon-goretzka_21/22,cold,7
leon-goretzka_21/22,Rest,3
leon-goretzka_20/21,Torn muscle fiber,42
leon-goretzka_20/21,strain,7
leon-goretzka_20/21,Calf problems,7
leon-goretzka_20/21,Corona virus,18
leon-goretzka_20/21,muscular problems,14
konrad-laimer_23/24,Calf injury,28
konrad-laimer_22/23,Ankle injury,7
konrad-laimer_22/23,Syndesmotic ligament tear,112
konrad-laimer_22/23,Ankle problems,14
konrad-laimer_21/22,Inner ligament injury,18
konrad-laimer_21/22,Adductor pain,18
konrad-laimer_21/22,muscular problems,18
konrad-laimer_20/21,Bone edema,242
konrad-laimer_19/20,influenza,4
jamal-musiala_23/24,Knee problems,8
jamal-musiala_23/24,Rest,2
jamal-musiala_23/24,Tendon irritation,3
jamal-musiala_23/24,minor knock,3
jamal-musiala_23/24,Hamstring injury,25
jamal-musiala_23/24,Torn muscle fiber,16
jamal-musiala_22/23,Hamstring injury,11
jamal-musiala_22/23,Corona virus,3
jamal-musiala_22/23,laceration wound,3
jamal-musiala_22/23,strain,4
jamal-musiala_21/22,infection,4
jamal-musiala_21/22,Corona virus,7
jamal-musiala_21/22,Quarantine,3
jamal-musiala_21/22,Quarantine,7
jamal-musiala_20/21,Fitness,17
kingsley-coman_23/24,Adductor injury,33
kingsley-coman_23/24,muscular problems,4
kingsley-coman_23/24,Knee medial ligament tear,50
kingsley-coman_23/24,Torn muscle fiber,20
kingsley-coman_23/24,muscular problems,3
kingsley-coman_22/23,Knock,5
kingsley-coman_22/23,Torn muscle fiber,28
kingsley-coman_21/22,muscular problems,7
kingsley-coman_21/22,muscular problems,7
kingsley-coman_21/22,Corona virus,18
kingsley-coman_21/22,Torn muscle fiber,14
kingsley-coman_21/22,muscular problems,4
kingsley-coman_21/22,heart problems,25
kingsley-coman_21/22,Calf injury,7
kingsley-coman_21/22,minor knock,7
mathys-tel_22/23,Torn muscle fiber,11
mathys-tel_22/23,Capsular injury,4
leroy-sane_23/24,Rest,11
leroy-sane_23/24,Inflammation of pubic bone,11
leroy-sane_23/24,Pubic bone irritation,4
leroy-sane_23/24,Pubic bone irritation,4
leroy-sane_23/24,Knee problems,6
leroy-sane_22/23,Knee problems,1
leroy-sane_22/23,Torn muscle fiber,17
leroy-sane_21/22,Corona virus,10
leroy-sane_20/21,Capsular injury,24
leroy-sane_19/20,Cruciate ligament tear,217
serge-gnabry_23/24,Torn muscle bundle,67
serge-gnabry_23/24,Torn muscle fiber,19
serge-gnabry_23/24,Muscle injury,85
serge-gnabry_23/24,Ill,4
serge-gnabry_23/24,Forearm fracture,28
serge-gnabry_23/24,Hip problems,7
serge-gnabry_22/23,Ankle problems,29
serge-gnabry_22/23,Capsular injury,3
serge-gnabry_22/23,Hand injury,7
serge-gnabry_21/22,influenza,10
serge-gnabry_21/22,Adductor pain,3
serge-gnabry_21/22,Quarantine,3
serge-gnabry_21/22,Quarantine,7
serge-gnabry_20/21,Corona virus,17
serge-gnabry_20/21,Torn muscle fiber in the adductor area,14
thomas-muller_23/24,Adductor injury,4
thomas-muller_22/23,Hip problems,21
thomas-muller_22/23,Stomach flu,4
thomas-muller_22/23,muscular problems,4
thomas-muller_22/23,cold,4
thomas-muller_22/23,Corona virus,5
thomas-muller_21/22,cold,7
thomas-muller_21/22,Corona virus,7
thomas-muller_21/22,Adductor pain,4
thomas-muller_20/21,Corona virus,14
harry-kane_23/24,Back problems,8
harry-kane_23/24,Ankle injury,10
harry-kane_20/21,Ankle injury,6
harry-kane_20/21,Ankle injury,7
harry-kane_20/21,unknown injury,5
harry-kane_19/20,Fitness,23
harry-kane_19/20,Torn thigh muscle,67
harry-kane_19/20,Ill,3
eric-maxim-choupo-moting_23/24,Ill,5
eric-maxim-choupo-moting_22/23,Knee problems,35
eric-maxim-choupo-moting_22/23,Knee problems,9
eric-maxim-choupo-moting_22/23,Back problems,20
eric-maxim-choupo-moting_22/23,Stomach flu,6
eric-maxim-choupo-moting_22/23,Groin problems,25
eric-maxim-choupo-moting_21/22,Corona virus,11
eric-maxim-choupo-moting_21/22,Fitness,25
eric-maxim-choupo-moting_21/22,Corona virus,17
eric-maxim-choupo-moting_21/22,Quarantine,7
eric-maxim-choupo-moting_21/22,Quarantine,7
eric-maxim-choupo-moting_21/22,Muscle injury,10
eric-maxim-choupo-moting_20/21,Back problems,10
eric-maxim-choupo-moting_19/20,Knock,28
eric-maxim-choupo-moting_19/20,Back injury,14
matej-kovar_23/24,muscular problems,2
lukas-hradecky_21/22,Corona virus,4
lukas-hradecky_20/21,Achilles tendon problems,45
niklas-lomb_21/22,Corona virus,10
niklas-lomb_21/22,Finger injury,21
edmond-tapsoba_23/24,Hand injury,14
edmond-tapsoba_21/22,Corona virus,5
edmond-tapsoba_21/22,Syndesmotic ligament tear,91
edmond-tapsoba_20/21,Corona virus,11
piero-hincapie_22/23,Foot injury,30
piero-hincapie_21/22,Corona virus,6
piero-hincapie_21/22,Muscle injury,18
odilon-kossounou_22/23,Muscle injury,49
odilon-kossounou_22/23,muscular problems,50
jonathan-tah_21/22,infection,4
jonathan-tah_19/20,Back problems,4
jonathan-tah_19/20,influenza,7
josip-stanisic_23/24,Ill,2
josip-stanisic_22/23,Torn muscle fiber in the adductor area,14
josip-stanisic_22/23,Tonsillitis,7
josip-stanisic_21/22,Torn muscle bundle,53
josip-stanisic_21/22,Corona virus,10
josip-stanisic_20/21,concussion,7
josip-stanisic_19/20,Knee injury,119
josip-stanisic_19/20,Muscle injury,46
josip-stanisic_19/20,Muscle injury,21
alejandro-grimaldo_23/24,Rest,1
alejandro-grimaldo_21/22,Corona virus,13
alejandro-grimaldo_20/21,Corona virus,8
alejandro-grimaldo_20/21,Muscle injury,8
alejandro-grimaldo_20/21,Ankle injury,7
alejandro-grimaldo_19/20,Knee injury,91
arthur_23/24,Muscle injury,212
timothy-fosu-mensah_23/24,Fitness,82
timothy-fosu-mensah_23/24,Knee injury,39
timothy-fosu-mensah_21/22,Hamstring injury,133
timothy-fosu-mensah_20/21,Cruciate ligament tear,312
timothy-fosu-mensah_19/20,Knee injury,48
granit-xhaka_21/22,Inner ligament injury,69
granit-xhaka_20/21,Groin injury,10
granit-xhaka_20/21,Ill,3
granit-xhaka_19/20,Ankle injury,6
granit-xhaka_19/20,concussion,8
granit-xhaka_19/20,Back injury,11
robert-andrich_23/24,Metatarsal fracture,31
robert-andrich_22/23,Metatarsal fracture,49
robert-andrich_22/23,bruise,9
robert-andrich_21/22,Knee problems,10
robert-andrich_21/22,Adductor pain,4
robert-andrich_20/21,Toe injury,3
exequiel-palacios_23/24,muscular problems,3
exequiel-palacios_23/24,Muscle injury,37
exequiel-palacios_23/24,Rest,2
exequiel-palacios_23/24,Knee problems,2
exequiel-palacios_22/23,Muscle injury,23
exequiel-palacios_22/23,Hamstring injury,49
exequiel-palacios_21/22,Back injury,38
exequiel-palacios_21/22,cold,4
exequiel-palacios_21/22,Torn lateral ankle ligament,18
exequiel-palacios_20/21,Adductor injury,18
exequiel-palacios_20/21,Lumbar vertebra fracture,70
exequiel-palacios_20/21,Ill,3
exequiel-palacios_19/20,Torn muscle bundle,39
jeremie-frimpong_23/24,unknown injury,7
jeremie-frimpong_21/22,Syndesmotic ligament tear,52
jeremie-frimpong_19/20,Knock,3
florian-wirtz_23/24,bruise,7
florian-wirtz_23/24,bruise,4
florian-wirtz_23/24,muscular problems,2
florian-wirtz_22/23,Stomach flu,4
florian-wirtz_22/23,Rest,2
florian-wirtz_22/23,muscular problems,4
florian-wirtz_21/22,Cruciate ligament tear,265
florian-wirtz_21/22,Hip flexor problems,14
florian-wirtz_21/22,Adductor pain,14
florian-wirtz_20/21,Adductor pain,7
florian-wirtz_20/21,Corona virus,4
florian-wirtz_20/21,Knee problems,14
florian-wirtz_20/21,Rest,0
florian-wirtz_20/21,Abdominal muscle strain,4
florian-wirtz_19/20,Knock,25
jonas-hofmann_22/23,Ill,3
jonas-hofmann_22/23,Acromioclavicular joint dislocation,14
jonas-hofmann_21/22,Torn muscle fiber,25
jonas-hofmann_21/22,Knee surgery,38
jonas-hofmann_20/21,Knee injury,7
jonas-hofmann_20/21,Corona virus,18
jonas-hofmann_20/21,muscular problems,4
jonas-hofmann_20/21,Torn muscle bundle,39
jonas-hofmann_19/20,Internal ligament tear,63
amine-adli_22/23,Broken collarbone,42
amine-adli_21/22,Tendon rupture,137
nathan-tella_22/23,Muscle injury,16
nathan-tella_21/22,Groin injury,54
nathan-tella_21/22,Corona virus,10
nathan-tella_20/21,bruise,31
nathan-tella_19/20,bruise,32
victor-boniface_23/24,Adductor injury,84
victor-boniface_20/21,Cruciate ligament tear,357
patrik-schick_23/24,Calf injury,29
patrik-schick_22/23,Adductor injury,215
patrik-schick_22/23,Adductor pain,104
patrik-schick_22/23,Adductor pain,4
patrik-schick_21/22,Torn muscle fiber,39
patrik-schick_21/22,Fitness,10
patrik-schick_21/22,Torn ankle ligaments,21
patrik-schick_20/21,minor knock,7
patrik-schick_20/21,Torn muscle fiber,38
patrik-schick_19/20,Knee problems,7
patrik-schick_19/20,Ankle problems,35
patrik-schick_19/20,Ankle problems,14
adam-hlozek_23/24,Ankle injury,22
adam-hlozek_22/23,unknown injury,13
adam-hlozek_21/22,Knee problems,17
adam-hlozek_20/21,Hip problems,7
adam-hlozek_20/21,Metatarsal fracture,133
adam-hlozek_20/21,Quarantine,7
adam-hlozek_20/21,Quarantine,7
adam-hlozek_19/20,Ill,7
borja-iglesias_23/24,muscular problems,16
borja-iglesias_20/21,Muscle injury,9
borja-iglesias_19/20,ankle sprain,10
peter-gulacsi_23/24,muscular problems,7
peter-gulacsi_23/24,Toe injury,2
peter-gulacsi_22/23,Cruciate ligament tear,344
peter-gulacsi_22/23,Muscle injury,14
peter-gulacsi_21/22,Corona virus,10
peter-gulacsi_21/22,Injury to abdominal muscles,14
peter-gulacsi_20/21,Capsular injury,7
peter-gulacsi_19/20,Head injury,7
janis-blaswich_22/23,Calf problems,4
janis-blaswich_21/22,Muscle injury,119
janis-blaswich_21/22,Muscle injury,38
timo-schlieck_22/23,Meniscus injury,124
leopold-zingerle_21/22,Hand injury,86
leopold-zingerle_21/22,Ligament tear,18
castello-lukeba_22/23,Calf injury,13
castello-lukeba_22/23,Muscle injury,6
mohamed-simakan_23/24,bruise,2
mohamed-simakan_22/23,muscular problems,2
mohamed-simakan_22/23,Back problems,6
mohamed-simakan_22/23,Shoulder joint contusion,4
mohamed-simakan_22/23,Back problems,7
mohamed-simakan_21/22,minor knock,7
mohamed-simakan_21/22,Corona virus,7
mohamed-simakan_21/22,cold,7
mohamed-simakan_20/21,Arthroscopy,168
mohamed-simakan_19/20,Torn muscle bundle,49
el-chadaille-bitshiabu_23/24,Knee medial ligament tear,85
willi-orban_23/24,Torn lateral knee ligament,130
willi-orban_21/22,Ill,2
willi-orban_21/22,Corona virus,15
willi-orban_21/22,Hamstring injury,13
willi-orban_21/22,influenza,4
willi-orban_19/20,Arthroscopy,192
lukas-klostermann_23/24,Hamstring injury,40
lukas-klostermann_23/24,Ill,7
lukas-klostermann_22/23,Torn muscle bundle,45
lukas-klostermann_22/23,Syndesmosis ligament tear,90
lukas-klostermann_21/22,Quarantine,10
lukas-klostermann_21/22,Adductor pain,14
lukas-klostermann_21/22,Torn muscle fiber,25
lukas-klostermann_20/21,Torn muscle fiber,39
lukas-klostermann_20/21,Knee surgery,63
lukas-klostermann_19/20,Knee problems,4
tim-kohler_23/24,Ill,13
tim-kohler_23/24,Ill,2
david-raum_21/22,Ankle injury,5
christopher-lenz_23/24,Calf problems,3
christopher-lenz_23/24,Calf injury,24
christopher-lenz_22/23,Hamstring injury,19
christopher-lenz_22/23,Hamstring injury,21
christopher-lenz_21/22,Broken toe,14
christopher-lenz_21/22,Fitness,4
christopher-lenz_21/22,Calf injury,14
christopher-lenz_21/22,Calf injury,39
christopher-lenz_21/22,muscular problems,77
christopher-lenz_20/21,muscular problems,21
christopher-lenz_20/21,muscular problems,21
christopher-lenz_20/21,Knock,63
christopher-lenz_19/20,minor knock,7
christopher-lenz_19/20,Hip flexor problems,3
benjamin-henrichs_23/24,Muscle injury,20
benjamin-henrichs_21/22,Stomach flu,3
benjamin-henrichs_21/22,Corona virus,6
benjamin-henrichs_21/22,Knee problems,21
benjamin-henrichs_20/21,Fitness,13
benjamin-henrichs_20/21,Patellar tendon problems,67
benjamin-henrichs_19/20,Back injury,16
benjamin-henrichs_19/20,Fitness,16
benjamin-henrichs_19/20,Foot injury,24
xaver-schlager_23/24,Cruciate ligament tear,13
xaver-schlager_22/23,Syndesmotic ligament tear,57
xaver-schlager_21/22,Fitness,21
xaver-schlager_21/22,Cruciate ligament tear,154
xaver-schlager_20/21,Quarantine,11
xaver-schlager_19/20,Ankle injury,81
amadou-haidara_23/24,Torn muscle bundle,54
amadou-haidara_21/22,Inner ligament injury,48
amadou-haidara_21/22,Ankle problems,10
amadou-haidara_20/21,Corona virus,14
nicolas-seiwald_21/22,Meniscus injury,30
kevin-kampl_22/23,muscular problems,4
kevin-kampl_21/22,Knee problems,2
kevin-kampl_20/21,Ankle problems,8
kevin-kampl_19/20,Adductor pain,6
kevin-kampl_19/20,Ankle problems,26
kevin-kampl_19/20,Fitness,50
kevin-kampl_19/20,Ankle injury,38
kevin-kampl_19/20,Tonsillitis,7
kevin-kampl_19/20,Ankle problems,34
kevin-kampl_19/20,Ankle injury,15
dani-olmo_23/24,muscular problems,6
dani-olmo_23/24,Acromioclavicular joint dislocation,53
dani-olmo_23/24,Knee injury,37
dani-olmo_22/23,Torn muscle fiber,35
dani-olmo_22/23,Inner knee ligament tear,49
dani-olmo_21/22,cold,7
dani-olmo_21/22,Corona virus,10
dani-olmo_21/22,Torn muscle fiber,39
dani-olmo_21/22,Torn muscle fiber,39
eljif-elmas_23/24,Hamstring muscle injury,18
eljif-elmas_23/24,unknown injury,4
eljif-elmas_21/22,Hamstring muscle injury,6
eljif-elmas_21/22,Corona virus,6
eljif-elmas_21/22,Shin bruise,2
eljif-elmas_20/21,Muscle injury,3
eljif-elmas_20/21,Fitness,2
eljif-elmas_20/21,Corona virus,20
christoph-baumgartner_21/22,muscular problems,26
christoph-baumgartner_21/22,Corona virus,6
christoph-baumgartner_21/22,muscular problems,11
christoph-baumgartner_20/21,Ankle injury,10
christoph-baumgartner_20/21,Quarantine,5
benjamin-sesko_21/22,Torn muscle fiber,29
benjamin-sesko_21/22,Thigh problems,14
benjamin-sesko_21/22,Torn muscle fiber,15
yussuf-poulsen_23/24,Hamstring injury,25
yussuf-poulsen_22/23,Calf problems,11
yussuf-poulsen_22/23,muscular problems,7
yussuf-poulsen_22/23,influenza,4
yussuf-poulsen_22/23,Torn muscle fiber,87
yussuf-poulsen_21/22,Muscle injury,10
yussuf-poulsen_21/22,Corona virus,7
yussuf-poulsen_21/22,Torn muscle fiber,35
yussuf-poulsen_21/22,Fitness,14
yussuf-poulsen_21/22,Thigh problems,7
yussuf-poulsen_20/21,Thigh problems,11
yussuf-poulsen_20/21,Muscle injury,7
yussuf-poulsen_20/21,Adductor injury,4
yussuf-poulsen_20/21,Quarantine,3
yussuf-poulsen_19/20,Ankle injury,45
gregor-kobel_23/24,Rest,2
gregor-kobel_23/24,Stomach flu,5
gregor-kobel_23/24,minor knock,4
gregor-kobel_23/24,muscular problems,15
gregor-kobel_23/24,Ill,12
gregor-kobel_23/24,muscular problems,5
gregor-kobel_23/24,Thigh problems,4
gregor-kobel_22/23,Thigh problems,20
gregor-kobel_22/23,Adductor pain,0
gregor-kobel_22/23,Back problems,4
gregor-kobel_22/23,Torn muscle fiber,24
gregor-kobel_21/22,Ligament injury,32
gregor-kobel_21/22,cold,4
gregor-kobel_21/22,minor knock,3
gregor-kobel_21/22,Tendon irritation,7
marcel-lotka_21/22,Broken nose bone,14
marcel-lotka_21/22,concussion,14
alexander-meyer_21/22,Knee bruise,18
alexander-meyer_20/21,bruise,21
alexander-meyer_19/20,Inner knee ligament tear,18
nico-schlotterbeck_22/23,Hamstring injury,12
nico-schlotterbeck_22/23,Torn muscle fiber,18
nico-schlotterbeck_22/23,muscular problems,3
nico-schlotterbeck_21/22,Corona virus,11
nico-schlotterbeck_21/22,muscular problems,14
nico-schlotterbeck_20/21,Hamstring injury,56
nico-schlotterbeck_20/21,Torn muscle fiber,46
niklas-sule_23/24,Ill,7
niklas-sule_23/24,Ill,10
niklas-sule_22/23,Muscle injury,18
niklas-sule_21/22,influenza,14
niklas-sule_21/22,Torn muscle fiber,11
niklas-sule_21/22,Back problems,3
niklas-sule_21/22,Back problems,4
niklas-sule_21/22,Corona virus,17
niklas-sule_21/22,Hip flexor problems,3
niklas-sule_20/21,Torn muscle fiber,18
niklas-sule_20/21,Hamstring strain,3
niklas-sule_20/21,Knee bruise,4
niklas-sule_20/21,Quarantine,7
niklas-sule_19/20,Fitness,45
niklas-sule_19/20,Edema in the knee,28
mats-hummels_23/24,Rest,2
mats-hummels_23/24,Rest,2
mats-hummels_23/24,infection,10
mats-hummels_22/23,Thigh problems,0
mats-hummels_22/23,cold,7
mats-hummels_22/23,Hip problems,3
mats-hummels_21/22,Muscle injury,80
mats-hummels_21/22,Corona virus,7
mats-hummels_21/22,cold,4
mats-hummels_21/22,Patellar tendon problems,21
mats-hummels_21/22,Patellar tendon problems,49
mats-hummels_20/21,Knee problems,3
mats-hummels_20/21,Hamstring strain,7
mats-hummels_20/21,Ankle injury,18
mats-hummels_19/20,Stomach flu,7
antonios-papadopoulos_23/24,muscular problems,19
antonios-papadopoulos_23/24,unknown injury,10
ian-maatsen_23/24,Rest,2
ian-maatsen_22/23,Cut,5
ian-maatsen_21/22,Hamstring injury,30
ramy-bensebaini_23/24,Inner ligament injury,69
ramy-bensebaini_23/24,Hip problems,4
ramy-bensebaini_23/24,Ill,3
ramy-bensebaini_22/23,Hip flexor problems,8
ramy-bensebaini_22/23,Hip injury,8
ramy-bensebaini_22/23,Hamstring injury,7
ramy-bensebaini_22/23,Ill,3
ramy-bensebaini_22/23,Corona virus,4
ramy-bensebaini_22/23,influenza,10
ramy-bensebaini_22/23,Corona virus,11
ramy-bensebaini_21/22,Thigh problems,7
ramy-bensebaini_21/22,Groin injury,45
ramy-bensebaini_21/22,Hamstring injury,25
ramy-bensebaini_20/21,muscular problems,7
ramy-bensebaini_20/21,Corona virus,45
julian-ryerson_23/24,Rest,2
julian-ryerson_23/24,inflammation,10
julian-ryerson_23/24,Inner ligament injury,59
julian-ryerson_23/24,Ill,3
julian-ryerson_23/24,Ankle problems,9
julian-ryerson_22/23,Eye injury,4
julian-ryerson_22/23,Ill,3
julian-ryerson_22/23,cold,4
julian-ryerson_21/22,Ill,7
julian-ryerson_21/22,Corona virus,10
julian-ryerson_21/22,Ill,3
julian-ryerson_20/21,muscular problems,7
julian-ryerson_19/20,Back problems,7
marius-wolf_23/24,Ligament stretching,3
marius-wolf_22/23,Ill,5
marius-wolf_22/23,Balance disorder,60
marius-wolf_22/23,infection,7
marius-wolf_22/23,Circulation problems,7
marius-wolf_21/22,Corona virus,7
marius-wolf_21/22,Hamstring injury,21
marius-wolf_21/22,Torn ankle ligaments,17
marius-wolf_19/20,strain,42
marius-wolf_19/20,Bruise on ankle,4
marius-wolf_19/20,Quarantine,31
mateu-morey_23/24,Knee injury,76
mateu-morey_22/23,Fitness,103
mateu-morey_22/23,Knee surgery,170
mateu-morey_22/23,Fitness,94
mateu-morey_20/21,Cruciate ligament injury,375
mateu-morey_20/21,muscular problems,11
mateu-morey_20/21,muscular problems,7
mateu-morey_20/21,Torn muscle fiber,35
mateu-morey_19/20,Shoulder injury,56
salih-ozcan_23/24,Fever,4
salih-ozcan_23/24,Ill,2
salih-ozcan_22/23,Stomach flu,4
salih-ozcan_22/23,Bone edema,10
salih-ozcan_22/23,Fitness,14
salih-ozcan_22/23,Foot injury,7
salih-ozcan_21/22,Corona virus,3
emre-can_23/24,Knock,6
emre-can_23/24,bruise,28
emre-can_22/23,muscular problems,3
emre-can_21/22,Muscle injury,24
emre-can_21/22,Muscle injury,21
emre-can_21/22,muscular problems,36
emre-can_21/22,Calf problems,22
emre-can_20/21,muscular problems,3
emre-can_20/21,Corona virus,14
emre-can_19/20,muscular problems,12
emre-can_19/20,influenza,7
abdoulaye-kamara_23/24,unknown injury,67
abdoulaye-kamara_23/24,Torn muscle fiber,55
abdoulaye-kamara_23/24,Knee injury,18
abdoulaye-kamara_23/24,Adductor pain,26
abdoulaye-kamara_22/23,Knee injury,50
abdoulaye-kamara_22/23,Knee medial ligament tear,91
abdoulaye-kamara_22/23,minor knock,14
abdoulaye-kamara_21/22,Ankle injury,31
felix-nmecha_23/24,Fitness,7
felix-nmecha_23/24,Hip problems,106
felix-nmecha_23/24,muscular problems,2
felix-nmecha_23/24,Ankle problems,9
felix-nmecha_22/23,Thigh problems,9
felix-nmecha_21/22,Fitness,10
felix-nmecha_19/20,unknown injury,122
marcel-sabitzer_23/24,Rest,2
marcel-sabitzer_23/24,Calf problems,3
marcel-sabitzer_23/24,Adductor pain,22
marcel-sabitzer_22/23,Meniscus injury,36
marcel-sabitzer_22/23,Groin problems,3
marcel-sabitzer_22/23,unknown injury,8
marcel-sabitzer_21/22,muscular problems,5
marcel-sabitzer_21/22,Calf injury,25
marcel-sabitzer_20/21,Calf problems,5
